"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1559258_a_at",4.55057718915701,-1.15348059424269,0.153784557589853,-7.50062693108013,6.35133197082444e-14,3.91142809840741e-11
"1560527_at",2.6976991067136,-1.18213677320422,0.206775855342726,-5.71699617078048,1.08423559320541e-08,2.72191475608905e-06
"1560813_at",4.06658563121703,0.528541157147415,0.157631608625585,3.35301505678874,0.000799363578649551,0.0423469302270073
"1561443_at",2.34875923662612,0.763248393402417,0.192228221710318,3.97053245674097,7.17121855878274e-05,0.0059379497536946
"1561817_at",4.195838644172,0.977678103736377,0.153675004665904,6.36198518986151,1.99162650287574e-10,7.07188891750852e-08
"1564307_a_at",2.8893307834637,-0.734589324514205,0.17940773362038,-4.09452429775723,4.23036050270758e-05,0.00393243935975746
"1565597_at",3.74554225285192,0.520330230605395,0.157134946979747,3.31135906179075,0.000928439948049604,0.0475292494013835
"1566968_at",4.52287797514797,0.606035023565823,0.137155080432638,4.41861155747323,9.93370017943118e-06,0.00114173730057264
"1569112_at",3.26123058849923,0.678817236420574,0.168176674265969,4.03633404800854,5.42928978341702e-05,0.00484140333763798
"1569208_a_at",5.87972888172357,0.458189178587205,0.127561291440977,3.59191392162418,0.000328258284251595,0.0212795592360072
"1569362_at",5.21532749447019,0.59986684596314,0.132421781533382,4.52997111968262,5.89917497726304e-06,0.000733470291967967
"1569872_a_at",3.8748349574749,-0.731730048516021,0.163921517999266,-4.46390478472325,8.04793391069539e-06,0.000946869454197458
"201116_s_at",7.46869055909155,0.500388985441558,0.11570822591426,4.32457572906136,1.5282569968999e-05,0.00164127305928645
"201117_s_at",8.52721329479226,0.379847539595593,0.107806177962362,3.52343016675916,0.000425999340449798,0.0260741802222396
"201124_at",5.44084080648652,0.509429048028803,0.142222493689487,3.58191615695499,0.000341083268083339,0.0218592779320922
"201387_s_at",5.08595387744333,-0.578050486706904,0.144458803066783,-4.0014902133702,6.29447990774258e-05,0.00544058401499487
"201388_at",8.44813548350702,0.36246552081794,0.102906208312002,3.52229011994085,0.00042783565771511,0.0261032733950207
"201525_at",7.42985406438874,0.637358909281516,0.119450622894201,5.33575207762652,9.51493381234093e-08,1.95323750666461e-05
"201820_at",4.23474013669582,-0.905357888030447,0.227854159654042,-3.97340952390371,7.08510784277338e-05,0.00589140169863017
"201860_s_at",8.11084688089296,0.398456730218961,0.113093181933064,3.52326040711096,0.00042627231171586,0.0260741802222396
"201884_at",3.35166659782269,2.00649094805166,0.226805837846561,8.84673413657496,9.01177427475134e-19,9.59973165581215e-16
"201942_s_at",4.57336234099246,0.604292199894634,0.139641505096742,4.32745407231174,1.50842785566516e-05,0.00162885412337498
"201951_at",9.83358020681881,0.407889948919439,0.0990005250974499,4.12007864117829,3.7874310583855e-05,0.00358840883978861
"201952_at",11.4159916989946,0.362241356976074,0.0925098620401631,3.91570529873677,9.01403019930633e-05,0.00731026720731398
"202035_s_at",4.81520624301588,-0.93080961303645,0.149569774045151,-6.22324676879877,4.86970528208353e-10,1.58623606601686e-07
"202036_s_at",6.98924828462783,-0.963484755735377,0.127510012716925,-7.55614978938428,4.1517570094487e-14,2.68257952082641e-11
"202037_s_at",8.61700830873759,-0.825977887861042,0.114872494701448,-7.19038870016489,6.46071252178211e-13,3.44111518018271e-10
"202094_at",3.80098379860791,-0.61135588385901,0.154208613065258,-3.96447300644808,7.35582695175679e-05,0.00606532559574356
"202134_s_at",4.57873972907664,-0.711453497665741,0.14373329207754,-4.94981703530406,7.42832813263562e-07,0.000120983522735413
"202234_s_at",4.38094181074932,-0.56862676502506,0.151833849624863,-3.74505926333272,0.000180351198016707,0.0132371734052709
"202236_s_at",6.8819290830646,-0.436080934472723,0.118142789540725,-3.69113456833016,0.000223255976693331,0.0156573150629732
"202240_at",3.87427546680219,-0.622842425359009,0.154464379176433,-4.03227222146527,5.52401464368301e-05,0.00490347842010919
"202341_s_at",7.0285837408374,-0.418553626911836,0.11483435312081,-3.64484682098136,0.000267551109364665,0.017903666255516
"202342_s_at",7.10754393720088,-0.41208919963711,0.115178027411341,-3.57784560908823,0.000346437975777047,0.0220846797388468
"202363_at",7.2712674504205,0.421463536227771,0.118768249201488,3.54862127766797,0.000387253620313981,0.0241506553655937
"202431_s_at",10.2500275316411,-0.346987045401688,0.0982151262106919,-3.53292877369346,0.000410983180895078,0.0253497513173687
"202580_x_at",6.62838532553911,-0.44240567159849,0.11495768160477,-3.84842200558203,0.00011888113362578,0.00918741372691467
"202965_s_at",2.99622974689878,-1.03388459988896,0.196621776612092,-5.25824055556511,1.45440190496792e-07,2.69125806020683e-05
"202991_at",8.04830666759652,0.702668007183693,0.106391519222547,6.60454904975905,3.98729182531371e-11,1.54073647061681e-08
"203074_at",7.37144686477574,-0.421584833779795,0.117590143971787,-3.58520552437577,0.000336812855746331,0.0217097487205097
"203108_at",8.3863259916397,0.43095826949628,0.107686835275352,4.0019587203425,6.28202604792875e-05,0.00544058401499487
"203128_at",6.69655393679805,0.40560035338952,0.119399231084973,3.39700976048051,0.000681265369426126,0.0375229446884109
"203263_s_at",5.96430704617843,-0.415518859693141,0.125749925879179,-3.30432687564663,0.000952047566824352,0.0482934398955148
"203418_at",5.31071003906268,-0.454672307397655,0.126309945847034,-3.59965562765959,0.000318638885854977,0.0207241469423895
"203431_s_at",6.20122635416895,0.55173352375333,0.12370675239474,4.46001138234384,8.19553002733671e-06,0.000961364941956693
"203453_at",7.29356890851972,0.748816885438901,0.124859574247484,5.99727245549207,2.00659242495774e-09,5.73334147914397e-07
"203571_s_at",8.44267272078151,0.525964185157346,0.11348648313657,4.6345976244977,3.57632429956933e-06,0.000482730294326115
"203636_at",6.30742881762051,-0.459551460536643,0.124296041023901,-3.69723328877608,0.000217962024553383,0.0153956187020557
"203638_s_at",7.47948415370897,-0.71732469607097,0.123373530748866,-5.8142511745986,6.09059060676959e-09,1.60036358783478e-06
"203639_s_at",4.27502123578292,-1.03187793444922,0.173157233813695,-5.95919622716682,2.53481578797542e-09,7.08561911115341e-07
"203649_s_at",3.17141304215187,0.678161247442014,0.185337446333092,3.65906221791365,0.000253139882307364,0.0171725564909853
"203699_s_at",4.04980966957905,0.601152566316322,0.157002295251042,3.82894126073187,0.000128695716208336,0.00977343537309316
"203702_s_at",6.33606001663674,-0.423012194722716,0.118213357944367,-3.57837897576509,0.000345731895163576,0.0220846797388468
"203722_at",4.30260944520791,0.838322205936817,0.153198857380296,5.47211787523841,4.44688876035421e-08,9.79160187712853e-06
